grammar_point,ruby,reference,dojg,donnatoki,hjg
ことがある(2),,1.  Basic Japanese Grammar,basicことがある(2),,
ことが出来る・できる,,1.  Basic Japanese Grammar,basicことが出来る・できる,,
ことになる,,1.  Basic Japanese Grammar,basicことになる,,
ことにする,,1.  Basic Japanese Grammar,basicことにする,,
ことは,,1.  Basic Japanese Grammar,basicことは,,
下さい・ください,,1.  Basic Japanese Grammar,basic下さい・ください,,
君・くん,,1.  Basic Japanese Grammar,basic君・くん,,
くらい,,1.  Basic Japanese Grammar,basicくらい,,
呉れる・くれる(1),,1.  Basic Japanese Grammar,basic呉れる・くれる(1),,
呉れる・くれる(2),,1.  Basic Japanese Grammar,basic呉れる・くれる(2),,
来る・くる(1),,1.  Basic Japanese Grammar,basic来る・くる(1),,
来る・くる(2),,1.  Basic Japanese Grammar,basic来る・くる(2),,
まだ,,1.  Basic Japanese Grammar,basicまだ,,
まで,,1.  Basic Japanese Grammar,basicまで,,
までに,,1.  Basic Japanese Grammar,basicまでに,,
前に・まえに,,1.  Basic Japanese Grammar,basic前に・まえに,,
毎・まい,,1.  Basic Japanese Grammar,basic毎・まい,,
まま,,1.  Basic Japanese Grammar,basicまま,,
ましょう,,1.  Basic Japanese Grammar,basicましょう,,
見える・みえる,,1.  Basic Japanese Grammar,basic見える・みえる,,
みる,,1.  Basic Japanese Grammar,basicみる,,
も,,1.  Basic Japanese Grammar,basicも,,
も(2),,1.  Basic Japanese Grammar,basicも(2),,
もう,,1.  Basic Japanese Grammar,basicもう,,
も~も,,1.  Basic Japanese Grammar,basicも~も,,
もの(だ),,1.  Basic Japanese Grammar,basicもの(だ),,
もらう(1),,1.  Basic Japanese Grammar,basicもらう(1),,
もらう(2),,1.  Basic Japanese Grammar,basicもらう(2),,
な,,1.  Basic Japanese Grammar,basicな,,
など,,1.  Basic Japanese Grammar,basicなど,,
ながら,,1.  Basic Japanese Grammar,basicながら,,
ないで,,1.  Basic Japanese Grammar,basicないで,,
なければならない,,1.  Basic Japanese Grammar,basicなければならない,,
なくなる,,1.  Basic Japanese Grammar,basicなくなる,,
なくて,,1.  Basic Japanese Grammar,basicなくて,,
なら,,1.  Basic Japanese Grammar,basicなら,,
なさい,,1.  Basic Japanese Grammar,basicなさい,,
ね,,1.  Basic Japanese Grammar,basicね,,
に(1),,1.  Basic Japanese Grammar,basicに(1),,
に(2),,1.  Basic Japanese Grammar,basicに(2),,
に(3),,1.  Basic Japanese Grammar,basicに(3),,
に(4),,1.  Basic Japanese Grammar,basicに(4),,
に(5),,1.  Basic Japanese Grammar,basicに(5),,
に(6),,1.  Basic Japanese Grammar,basicに(6),,
に(7),,1.  Basic Japanese Grammar,basicに(7),,
に違いない・にちがいない,,1.  Basic Japanese Grammar,basicに違いない・にちがいない,,
難い・にくい,,1.  Basic Japanese Grammar,basic難い・にくい,,
にしては,,1.  Basic Japanese Grammar,basicにしては,,
にする,,1.  Basic Japanese Grammar,basicにする,,
の(1),,1.  Basic Japanese Grammar,basicの(1),,
の(2),,1.  Basic Japanese Grammar,basicの(2),,
の(3),,1.  Basic Japanese Grammar,basicの(3),,
の(4),,1.  Basic Japanese Grammar,basicの(4),,
のだ,,1.  Basic Japanese Grammar,basicのだ,,
ので,,1.  Basic Japanese Grammar,basicので,,
のに(1),,1.  Basic Japanese Grammar,basicのに(1),,
のに(2),,1.  Basic Japanese Grammar,basicのに(2),,
のは～だ,,1.  Basic Japanese Grammar,basicのは～だ,,
お,,1.  Basic Japanese Grammar,basicお,,
を(1),,1.  Basic Japanese Grammar,basicを(1),,
を(2),,1.  Basic Japanese Grammar,basicを(2),,
を(3),,1.  Basic Japanese Grammar,basicを(3),,
を(4),,1.  Basic Japanese Grammar,basicを(4),,
多い・おおい,,1.  Basic Japanese Grammar,basic多い・おおい,,
おく,,1.  Basic Japanese Grammar,basicおく,,
お～になる,,1.  Basic Japanese Grammar,basicお～になる,,
お～する,,1.  Basic Japanese Grammar,basicお～する,,
終わる・おわる,,1.  Basic Japanese Grammar,basic終わる・おわる,,
られる(1),,1.  Basic Japanese Grammar,basicられる(1),,
られる(2),,1.  Basic Japanese Grammar,basicられる(2),,
らしい,,1.  Basic Japanese Grammar,basicらしい,,
Relative Clause,,1.  Basic Japanese Grammar,basicRelative Clause,,
さ,,1.  Basic Japanese Grammar,basicさ,,
様・さま,,1.  Basic Japanese Grammar,basic様・さま,,
させる,,1.  Basic Japanese Grammar,basicさせる,,
せっかく,,1.  Basic Japanese Grammar,basicせっかく,,
し,,1.  Basic Japanese Grammar,basicし,,
しい,,1.  Basic Japanese Grammar,basicしい,,
しか,,1.  Basic Japanese Grammar,basicしか,,
しまう,,1.  Basic Japanese Grammar,basicしまう,,
知る・しる,,1.  Basic Japanese Grammar,basic知る・しる,,
そうだ(1),,1.  Basic Japanese Grammar,basicそうだ(1),,
そうだ(2),,1.  Basic Japanese Grammar,basicそうだ(2),,
それで,,1.  Basic Japanese Grammar,basicそれで,,
それでは,,1.  Basic Japanese Grammar,basicそれでは,,
それから,,1.  Basic Japanese Grammar,basicそれから,,
それなら,,1.  Basic Japanese Grammar,basicそれなら,,
それとも,,1.  Basic Japanese Grammar,basicそれとも,,
そして,,1.  Basic Japanese Grammar,basicそして,,
過ぎる・すぎる,,1.  Basic Japanese Grammar,basic過ぎる・すぎる,,
好きだ・すきだ,,1.  Basic Japanese Grammar,basic好きだ・すきだ,,
少ない・すくない,,1.  Basic Japanese Grammar,basic少ない・すくない,,
する(1),,1.  Basic Japanese Grammar,basicする(1),,
する(2),,1.  Basic Japanese Grammar,basicする(2),,
する(3),,1.  Basic Japanese Grammar,basicする(3),,
する(4),,1.  Basic Japanese Grammar,basicする(4),,
すると,,1.  Basic Japanese Grammar,basicすると,,
たい,,1.  Basic Japanese Grammar,basicたい,,
堪らない・たまらない,,1.  Basic Japanese Grammar,basic堪らない・たまらない,,
為(に)・ため(に),,1.  Basic Japanese Grammar,basic為(に)・ため(に),,
たら,,1.  Basic Japanese Grammar,basicたら,,
たらどうですか,,1.  Basic Japanese Grammar,basicたらどうですか,,
たり～たりする,,1.  Basic Japanese Grammar,basicたり～たりする,,
たって,,1.  Basic Japanese Grammar,basicたって,,
て,,1.  Basic Japanese Grammar,basicて,,
ても,,1.  Basic Japanese Grammar,basicても,,
てもいい,,1.  Basic Japanese Grammar,basicてもいい,,
と(1),,1.  Basic Japanese Grammar,basicと(1),,
と(2),,1.  Basic Japanese Grammar,basicと(2),,
と(3),,1.  Basic Japanese Grammar,basicと(3),,
と(4),,1.  Basic Japanese Grammar,basicと(4),,
と言えば,,1.  Basic Japanese Grammar,basicと言えば,,
という,,1.  Basic Japanese Grammar,basicという,,
とか,,1.  Basic Japanese Grammar,basicとか,,
時・とき,,1.  Basic Japanese Grammar,basic時・とき,,
ところだ(1),,1.  Basic Japanese Grammar,basicところだ(1),,
ところだ(2),,1.  Basic Japanese Grammar,basicところだ(2),,
として,,1.  Basic Japanese Grammar,basicとして,,
としては,,1.  Basic Japanese Grammar,basicとしては,,
つもり,,1.  Basic Japanese Grammar,basicつもり,,
って(1),,1.  Basic Japanese Grammar,basicって(1),,
って(2),,1.  Basic Japanese Grammar,basicって(2),,
うちに,,1.  Basic Japanese Grammar,basicうちに,,
は(1),,1.  Basic Japanese Grammar,basicは(1),,
わ(2),,1.  Basic Japanese Grammar,basicわ(2),,
は～だ,,1.  Basic Japanese Grammar,basicは～だ,,
は～が,,1.  Basic Japanese Grammar,basicは～が,,
はいけない,,1.  Basic Japanese Grammar,basicはいけない,,
分かる・わかる,,1.  Basic Japanese Grammar,basic分かる・わかる,,
わけだ,,1.  Basic Japanese Grammar,basicわけだ,,
屋・や,,1.  Basic Japanese Grammar,basic屋・や,,
や,,1.  Basic Japanese Grammar,basicや,,
やはり,,1.  Basic Japanese Grammar,basicやはり,,
易い・やすい,,1.  Basic Japanese Grammar,basic易い・やすい,,
ようだ,,1.  Basic Japanese Grammar,basicようだ,,
ように(1),,1.  Basic Japanese Grammar,basicように(1),,
ように(2),,1.  Basic Japanese Grammar,basicように(2),,
ように言う,,1.  Basic Japanese Grammar,basicように言う,,
ようになる,,1.  Basic Japanese Grammar,basicようになる,,
ようにする,,1.  Basic Japanese Grammar,basicようにする,,
より(1),,1.  Basic Japanese Grammar,basicより(1),,
より(2),,1.  Basic Japanese Grammar,basicより(2),,
ようと思う,,1.  Basic Japanese Grammar,basicようと思う,,
ずつ,,1.  Basic Japanese Grammar,basicずつ,,
あまり,,2. Intermediate Japanese Grammar,intermediateあまり,,
~ば~ほど,,2. Intermediate Japanese Grammar,intermediate~ば~ほど,,
~ばかりか~(さえ),,2. Intermediate Japanese Grammar,intermediate~ばかりか~(さえ),,
べきだ,,2. Intermediate Japanese Grammar,intermediateべきだ,,
分,,2. Intermediate Japanese Grammar,intermediate分,,
だが,,2. Intermediate Japanese Grammar,intermediateだが,,
だからと言って,,2. Intermediate Japanese Grammar,intermediateだからと言って,,
だけで,,2. Intermediate Japanese Grammar,intermediateだけで,,
だらけ,,2. Intermediate Japanese Grammar,intermediateだらけ,,
で,,2. Intermediate Japanese Grammar,intermediateで,,
であろう,,2. Intermediate Japanese Grammar,intermediateであろう,,
である,,2. Intermediate Japanese Grammar,intermediateである,,
どころか,,2. Intermediate Japanese Grammar,intermediateどころか,,
どうも,,2. Intermediate Japanese Grammar,intermediateどうも,,
どんなに~(こと)か,,2. Intermediate Japanese Grammar,intermediateどんなに~(こと)か,,
どうせ,,2. Intermediate Japanese Grammar,intermediateどうせ,,
風に,,2. Intermediate Japanese Grammar,intermediate風に,,
がち,,2. Intermediate Japanese Grammar,intermediateがち,,
がたい,,2. Intermediate Japanese Grammar,intermediateがたい,,
逆に,,2. Intermediate Japanese Grammar,intermediate逆に,,
ほど,,2. Intermediate Japanese Grammar,intermediateほど,,
以外,,2. Intermediate Japanese Grammar,intermediate以外,,
以上(は),,2. Intermediate Japanese Grammar,intermediate以上(は),,
いかにも,,2. Intermediate Japanese Grammar,intermediateいかにも,,
Imperative,,2. Intermediate Japanese Grammar,intermediateImperative,,
一方で(は)他方で(は),,2. Intermediate Japanese Grammar,intermediate一方で(は)他方で(は),,
上,,2. Intermediate Japanese Grammar,intermediate上,,
かえって,,2. Intermediate Japanese Grammar,intermediateかえって,,
限り,,2. Intermediate Japanese Grammar,intermediate限り,,
限り(2),,2. Intermediate Japanese Grammar,intermediate限り(2),,
か~か,,2. Intermediate Japanese Grammar,intermediateか~か,,
かな,,2. Intermediate Japanese Grammar,intermediateかな,,
必ずしも,,2. Intermediate Japanese Grammar,intermediate必ずしも,,
かねる,,2. Intermediate Japanese Grammar,intermediateかねる,,
から~に至るまで,,2. Intermediate Japanese Grammar,intermediateから~に至るまで,,
から~にかけて,,2. Intermediate Japanese Grammar,intermediateから~にかけて,,
からと言って,,2. Intermediate Japanese Grammar,intermediateからと言って,,
かろう,,2. Intermediate Japanese Grammar,intermediateかろう,,
方をする,,2. Intermediate Japanese Grammar,intermediate方をする,,
かと言うと,,2. Intermediate Japanese Grammar,intermediateかと言うと,,
(の)代わりに,,2. Intermediate Japanese Grammar,intermediate(の)代わりに,,
結果,,2. Intermediate Japanese Grammar,intermediate結果,,
結構,,2. Intermediate Japanese Grammar,intermediate結構,,
この,,2. Intermediate Japanese Grammar,intermediateこの,,
こうした,,2. Intermediate Japanese Grammar,intermediateこうした,,
こそ,,2. Intermediate Japanese Grammar,intermediateこそ,,
こと,,2. Intermediate Japanese Grammar,intermediateこと,,
ことで,,2. Intermediate Japanese Grammar,intermediateことで,,
ことになる,,2. Intermediate Japanese Grammar,intermediateことになる,,
ことによる,,2. Intermediate Japanese Grammar,intermediateことによる,,
ことはない,,2. Intermediate Japanese Grammar,intermediateことはない,,
く,,2. Intermediate Japanese Grammar,intermediateく,,
くらい,,2. Intermediate Japanese Grammar,intermediateくらい,,
くせに,,2. Intermediate Japanese Grammar,intermediateくせに,,
までもない,,2. Intermediate Japanese Grammar,intermediateまでもない,,
まい,,2. Intermediate Japanese Grammar,intermediateまい,,
まさか,,2. Intermediate Japanese Grammar,intermediateまさか,,
ましだ,,2. Intermediate Japanese Grammar,intermediateましだ,,
または,,2. Intermediate Japanese Grammar,intermediateまたは,,
目,,2. Intermediate Japanese Grammar,intermediate目,,
面,,2. Intermediate Japanese Grammar,intermediate面,,
みせる,,2. Intermediate Japanese Grammar,intermediateみせる,,
も,,2. Intermediate Japanese Grammar,intermediateも,,
も~ば,,2. Intermediate Japanese Grammar,intermediateも~ば,,
も~も,,2. Intermediate Japanese Grammar,intermediateも~も,,
もの(だ),,2. Intermediate Japanese Grammar,intermediateもの(だ),,
なあ,,2. Intermediate Japanese Grammar,intermediateなあ,,
などと,,2. Intermediate Japanese Grammar,intermediateなどと,,
ながら(も),,2. Intermediate Japanese Grammar,intermediateながら(も),,
ないことも/ はない,,2. Intermediate Japanese Grammar,intermediateないことも/ はない,,
なかなか,,2. Intermediate Japanese Grammar,intermediateなかなか,,
なく,,2. Intermediate Japanese Grammar,intermediateなく,,
何でも,,2. Intermediate Japanese Grammar,intermediate何でも,,
何しろ,,2. Intermediate Japanese Grammar,intermediate何しろ,,
ならない,,2. Intermediate Japanese Grammar,intermediateならない,,
なり~なり,,2. Intermediate Japanese Grammar,intermediateなり~なり,,
なりに,,2. Intermediate Japanese Grammar,intermediateなりに,,
なしでは,,2. Intermediate Japanese Grammar,intermediateなしでは,,
ねばならない,,2. Intermediate Japanese Grammar,intermediateねばならない,,
に,,2. Intermediate Japanese Grammar,intermediateに,,
に当たって/当たり,,2. Intermediate Japanese Grammar,intermediateに当たって/当たり,,
に反して/反する,,2. Intermediate Japanese Grammar,intermediateに反して/反する,,
にほかならない,,2. Intermediate Japanese Grammar,intermediateにほかならない,,
に限らず,,2. Intermediate Japanese Grammar,intermediateに限らず,,
に限って,,2. Intermediate Japanese Grammar,intermediateに限って,,
に関して/関する,,2. Intermediate Japanese Grammar,intermediateに関して/関する,,
に代わって,,2. Intermediate Japanese Grammar,intermediateに代わって,,
に比べると/比べて,,2. Intermediate Japanese Grammar,intermediateに比べると/比べて,,
にもかかわらず,,2. Intermediate Japanese Grammar,intermediateにもかかわらず,,
に基づいて/基づく,,2. Intermediate Japanese Grammar,intermediateに基づいて/基づく,,
になると,,2. Intermediate Japanese Grammar,intermediateになると,,
において/おける,,2. Intermediate Japanese Grammar,intermediateにおいて/おける,,
に従って/従い,,2. Intermediate Japanese Grammar,intermediateに従って/従い,,
に過ぎない,,2. Intermediate Japanese Grammar,intermediateに過ぎない,,
に対して/対する,,2. Intermediate Japanese Grammar,intermediateに対して/対する,,
にとって,,2. Intermediate Japanese Grammar,intermediateにとって,,
について,,2. Intermediate Japanese Grammar,intermediateについて,,
につき,,2. Intermediate Japanese Grammar,intermediateにつき,,
につれて/つれ,,2. Intermediate Japanese Grammar,intermediateにつれて/つれ,,
には,,2. Intermediate Japanese Grammar,intermediateには,,
によって/より,,2. Intermediate Japanese Grammar,intermediateによって/より,,
の関係で,,2. Intermediate Japanese Grammar,intermediateの関係で,,
のこと,,2. Intermediate Japanese Grammar,intermediateのこと,,
のことだから,,2. Intermediate Japanese Grammar,intermediateのことだから,,
のみ,,2. Intermediate Japanese Grammar,intermediateのみ,,
の下で,,2. Intermediate Japanese Grammar,intermediateの下で,,
の上では,,2. Intermediate Japanese Grammar,intermediateの上では,,
のは~のことだ,,2. Intermediate Japanese Grammar,intermediateのは~のことだ,,
ぬ,,2. Intermediate Japanese Grammar,intermediateぬ,,
お~だ,,2. Intermediate Japanese Grammar,intermediateお~だ,,
をはじめ(として),,2. Intermediate Japanese Grammar,intermediateをはじめ(として),,
お~下さい,,2. Intermediate Japanese Grammar,intermediateお~下さい,,
思われる,,2. Intermediate Japanese Grammar,intermediate思われる,,
おり,,2. Intermediate Japanese Grammar,intermediateおり,,
を通して,,2. Intermediate Japanese Grammar,intermediateを通して,,
っぱなし,,2. Intermediate Japanese Grammar,intermediateっぱなし,,
っぽい,,2. Intermediate Japanese Grammar,intermediateっぽい,,
来,,2. Intermediate Japanese Grammar,intermediate来,,
例の,,2. Intermediate Japanese Grammar,intermediate例の,,
Relative Clause,,2. Intermediate Japanese Grammar,intermediateRelative Clause,,
Rhetorical Question,,2. Intermediate Japanese Grammar,intermediateRhetorical Question,,
ろくに~ない,,2. Intermediate Japanese Grammar,intermediateろくに~ない,,
さ,,2. Intermediate Japanese Grammar,intermediateさ,,
さえ,,2. Intermediate Japanese Grammar,intermediateさえ,,
際(に),,2. Intermediate Japanese Grammar,intermediate際(に),,
さすが,,2. Intermediate Japanese Grammar,intermediateさすが,,
せい,,2. Intermediate Japanese Grammar,intermediateせい,,
せめて,,2. Intermediate Japanese Grammar,intermediateせめて,,
次第,,2. Intermediate Japanese Grammar,intermediate次第,,
しかも,,2. Intermediate Japanese Grammar,intermediateしかも,,
したがって,,2. Intermediate Japanese Grammar,intermediateしたがって,,
そうかと言って,,2. Intermediate Japanese Grammar,intermediateそうかと言って,,
そこで,,2. Intermediate Japanese Grammar,intermediateそこで,,
そこで(2),,2. Intermediate Japanese Grammar,intermediateそこで(2),,
そこを,,2. Intermediate Japanese Grammar,intermediateそこを,,
そうになる,,2. Intermediate Japanese Grammar,intermediateそうになる,,
その上,,2. Intermediate Japanese Grammar,intermediateその上,,
それでも,,2. Intermediate Japanese Grammar,intermediateそれでも,,
それどころか,,2. Intermediate Japanese Grammar,intermediateそれどころか,,
それが,,2. Intermediate Japanese Grammar,intermediateそれが,,
それも,,2. Intermediate Japanese Grammar,intermediateそれも,,
それに,,2. Intermediate Japanese Grammar,intermediateそれに,,
それと,,2. Intermediate Japanese Grammar,intermediateそれと,,
それは,,2. Intermediate Japanese Grammar,intermediateそれは,,
それぞれ,,2. Intermediate Japanese Grammar,intermediateそれぞれ,,
すぐ,,2. Intermediate Japanese Grammar,intermediateすぐ,,
たびに,,2. Intermediate Japanese Grammar,intermediateたびに,,
ただ,,2. Intermediate Japanese Grammar,intermediateただ,,
ただの,,2. Intermediate Japanese Grammar,intermediateただの,,
確かに~が,,2. Intermediate Japanese Grammar,intermediate確かに~が,,
たところで,,2. Intermediate Japanese Grammar,intermediateたところで,,
て,,2. Intermediate Japanese Grammar,intermediateて,,
て初めて,,2. Intermediate Japanese Grammar,intermediateて初めて,,
点(で),,2. Intermediate Japanese Grammar,intermediate点(で),,
ては,,2. Intermediate Japanese Grammar,intermediateては,,
と,,2. Intermediate Japanese Grammar,intermediateと,,
と同時に,,2. Intermediate Japanese Grammar,intermediateと同時に,,
と言っても,,2. Intermediate Japanese Grammar,intermediateと言っても,,
という風に,,2. Intermediate Japanese Grammar,intermediateという風に,,
ということは,,2. Intermediate Japanese Grammar,intermediateということは,,
というのに,,2. Intermediate Japanese Grammar,intermediateというのに,,
というのは~ことだ,,2. Intermediate Japanese Grammar,intermediateというのは~ことだ,,
と言うと,,2. Intermediate Japanese Grammar,intermediateと言うと,,
というより(は),,2. Intermediate Japanese Grammar,intermediateというより(は),,
とかで,,2. Intermediate Japanese Grammar,intermediateとかで,,
ところ,,2. Intermediate Japanese Grammar,intermediateところ,,
ところが,,2. Intermediate Japanese Grammar,intermediateところが,,
とも,,2. Intermediate Japanese Grammar,intermediateとも,,
となる,,2. Intermediate Japanese Grammar,intermediateとなる,,
となると,,2. Intermediate Japanese Grammar,intermediateとなると,,
通り(に),,2. Intermediate Japanese Grammar,intermediate通り(に),,
とする(1),,2. Intermediate Japanese Grammar,intermediateとする(1),,
とする(2),,2. Intermediate Japanese Grammar,intermediateとする(2),,
途端(に),,2. Intermediate Japanese Grammar,intermediate途端(に),,
とうとう,,2. Intermediate Japanese Grammar,intermediateとうとう,,
と共に,,2. Intermediate Japanese Grammar,intermediateと共に,,
とは限らない,,2. Intermediate Japanese Grammar,intermediateとは限らない,,
つまり,,2. Intermediate Japanese Grammar,intermediateつまり,,
つつ,,2. Intermediate Japanese Grammar,intermediateつつ,,
(の)上で,,2. Intermediate Japanese Grammar,intermediate(の)上で,,
上(に),,2. Intermediate Japanese Grammar,intermediate上(に),,
得る　(うる・える),,2. Intermediate Japanese Grammar,intermediate得る(うる・える),,
Vmasu,,2. Intermediate Japanese Grammar,intermediateVmasu,,
Vmasu as a Noun,,2. Intermediate Japanese Grammar,intermediateVmasu as a Noun,,
は,,2. Intermediate Japanese Grammar,intermediateは,,
は言うまでもなく,,2. Intermediate Japanese Grammar,intermediateは言うまでもなく,,
わけだ,,2. Intermediate Japanese Grammar,intermediateわけだ,,
わけではない,,2. Intermediate Japanese Grammar,intermediateわけではない,,
わけがない,,2. Intermediate Japanese Grammar,intermediateわけがない,,
わけにはいかない,,2. Intermediate Japanese Grammar,intermediateわけにはいかない,,
やる(1),,2. Intermediate Japanese Grammar,intermediateやる(1),,
やる(2),,2. Intermediate Japanese Grammar,intermediateやる(2),,
やっと,,2. Intermediate Japanese Grammar,intermediateやっと,,
よう(1),,2. Intermediate Japanese Grammar,intermediateよう(1),,
よう(2),,2. Intermediate Japanese Grammar,intermediateよう(2),,
より,,2. Intermediate Japanese Grammar,intermediateより,,
ざるを得ない,,2. Intermediate Japanese Grammar,intermediateざるを得ない,,
ぞ,,2. Intermediate Japanese Grammar,intermediateぞ,,
あえて,,3. Advanced Japanese Grammar,advancedあえて,,
あげく(に),,3. Advanced Japanese Grammar,advancedあげく(に),,
あくまでも,,3. Advanced Japanese Grammar,advancedあくまでも,,
あながち～ない,,3. Advanced Japanese Grammar,advancedあながち～ない,,
あるいは,,3. Advanced Japanese Grammar,advancedあるいは,,
あたかも,,3. Advanced Japanese Grammar,advancedあたかも,,
ばかりに,,3. Advanced Japanese Grammar,advancedばかりに,,
ばこそ,,3. Advanced Japanese Grammar,advancedばこそ,,
べからず・べからざる,,3. Advanced Japanese Grammar,advancedべからず・べからざる,,
べく,,3. Advanced Japanese Grammar,advancedべく,,
べくもない,,3. Advanced Japanese Grammar,advancedべくもない,,
べくして,,3. Advanced Japanese Grammar,advancedべくして,,
ちなみに,,3. Advanced Japanese Grammar,advancedちなみに,,
だけ,,3. Advanced Japanese Grammar,advancedだけ,,
だけあって,,3. Advanced Japanese Grammar,advancedだけあって,,
だけに,,3. Advanced Japanese Grammar,advancedだけに,,
だけのことはある,,3. Advanced Japanese Grammar,advancedだけのことはある,,
だに,,3. Advanced Japanese Grammar,advancedだに,,
だの,,3. Advanced Japanese Grammar,advancedだの,,
だって(1),,3. Advanced Japanese Grammar,advancedだって(1),,
だって(2),,3. Advanced Japanese Grammar,advancedだって(2),,
であれ,,3. Advanced Japanese Grammar,advancedであれ,,
～であれ～であれ,,3. Advanced Japanese Grammar,advanced～であれ～であれ,,
でも・じゃあるまいし,,3. Advanced Japanese Grammar,advancedでも・じゃあるまいし,,
～でも[Wh. word]でも,,3. Advanced Japanese Grammar,advanced～でも[Wh. word]でも,,
どちらかと言うと,,3. Advanced Japanese Grammar,advancedどちらかと言うと,,
どうか,,3. Advanced Japanese Grammar,advancedどうか,,
どころではない,,3. Advanced Japanese Grammar,advancedどころではない,,
ども,,3. Advanced Japanese Grammar,advancedども,,
どうにも～ない,,3. Advanced Japanese Grammar,advancedどうにも～ない,,
同士,,3. Advanced Japanese Grammar,advanced同士,,
が早いか,,3. Advanced Japanese Grammar,advancedが早いか,,
～が～なら,,3. Advanced Japanese Grammar,advanced～が～なら,,
ごとし,,3. Advanced Japanese Grammar,advancedごとし,,
反面,,3. Advanced Japanese Grammar,advanced反面,,
はたして,,3. Advanced Japanese Grammar,advancedはたして,,
ひいては,,3. Advanced Japanese Grammar,advancedひいては,,
一[Counter]として～ない,,3. Advanced Japanese Grammar,advanced一[Counter]として～ない,,
ひとつ,,3. Advanced Japanese Grammar,advancedひとつ,,
一つには,,3. Advanced Japanese Grammar,advanced一つには,,
一応,,3. Advanced Japanese Grammar,advanced一応,,
如何(だ),,3. Advanced Japanese Grammar,advanced如何(だ),,
いかなる,,3. Advanced Japanese Grammar,advancedいかなる,,
いかに,,3. Advanced Japanese Grammar,advancedいかに,,
